City_1,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Chino,380.52,41.13,53.64,2.86,18.54,24.93,56
Tucson,173.57,1.19,75.82,0.14,3.7,16.31,102
Joliet,467.3,51.41,19.31,6.86,10.78,14.98,64
Moreno Valley,323.77,19.88,154.5,9.18,28.97,36.99,215
Elizabeth,357.15,19.88,46.49,1.59,11.23,15.26,39
Wyoming,640.87,44.55,0.06,1.01,14.64,17.72,55
Norman,201.94,1.89,77.96,0.18,2.3,2.53,107
Frisco,240.33,10.2,73.67,2.44,5.29,6.39,95
Waterloo,240.33,2.96,72.96,0.51,3.14,3.24,93
Oakland,230.31,4.88,68.67,1.03,4.44,10.12,80
Jonesboro,267.03,2.74,87.26,0.38,12.32,13.19,130
Springfield,293.73,7.28,78.68,1.94,17.98,18.61,109
Mission,216.96,3.09,46.49,0.08,2.44,3.46,39
Lansing,360.49,17.99,21.82,0.4,5.77,6.99,22
Bay,247.0,3.26,55.08,0.33,30.3,39.14,79
Poinciana,260.35,3.56,59.37,0.54,6.32,6.52,51
Davis,220.3,4.41,75.82,0.19,0.65,1.0,102
Lehigh Acres,243.66,3.94,26.11,0.23,1.16,1.31,22
Henderson,203.61,4.41,113.01,0.63,3.1,15.33,195
Framingham,370.5,22.28,43.27,0.45,21.35,23.93,61
Waco,223.64,3.47,82.97,2.77,6.43,7.57,119
Fort Worth,216.96,4.11,80.82,1.58,4.29,5.0,114
Bellingham,293.73,20.91,23.6,2.35,2.81,3.98,26
Maple Grove,307.08,13.02,47.21,0.33,2.56,3.95,40
Torrance,267.03,15.94,98.71,3.93,5.39,8.47,159
San Diego,226.97,6.43,97.28,1.58,7.32,14.19,155
Phoenix,213.62,8.91,105.86,0.83,3.29,8.8,177
Independence,233.65,8.74,74.39,4.71,5.91,6.54,98
McKinney,247.0,11.65,70.1,2.41,5.04,6.54,84
Cranston,280.38,8.05,45.06,0.29,8.2,9.67,38
Peoria,280.38,7.11,67.23,1.16,8.91,9.12,75
Fontana,387.19,41.47,70.81,3.82,26.96,34.07,86
Indianapolis,273.71,12.0,67.95,3.22,8.12,9.22,77
Fall River,350.48,17.48,25.75,0.33,9.74,14.3,31
Yuba City,216.96,1.59,78.68,0.23,0.63,0.92,109
Tuscaloosa,236.99,2.87,66.52,0.6,10.33,10.72,73
Pearland,236.99,15.77,58.65,3.31,3.47,4.89,49
Palatine,367.17,25.71,84.4,8.94,17.48,20.88,123
San Angelo,193.6,0.62,64.37,0.11,1.11,1.43,66
Murfreesboro,287.06,10.54,47.21,0.12,13.78,15.23,44
Jacksonville,213.62,4.07,86.55,3.16,3.71,4.13,128
Olathe,205.28,1.54,80.82,0.48,5.02,5.48,114
Redlands,614.17,50.72,137.33,6.56,70.96,79.76,208
Franklin,270.37,8.57,57.94,0.07,14.7,15.99,49
Norwalk,540.73,61.01,7.78,1.97,16.51,22.39,76
Nampa,290.39,13.2,29.33,0.1,1.4,2.01,24
Hialeah,240.33,12.85,17.7,1.67,1.96,2.99,16
San Clemente,185.25,1.08,49.35,0.02,3.0,4.19,41
Wichita,206.95,2.91,80.82,0.37,3.24,3.83,114
Redwood City,233.65,5.48,69.38,1.45,6.26,16.16,82
Gilbert,226.97,10.54,90.12,1.94,3.77,12.44,137
Cheektowaga,377.18,22.96,40.05,2.21,6.84,8.07,33
Plano,247.0,11.65,70.1,2.41,5.04,6.54,84
Merced,220.3,2.91,87.26,0.46,1.41,2.07,130
Oshkosh,390.53,29.47,22.17,1.25,4.88,6.39,36
Salem,233.65,2.49,38.62,0.36,4.42,6.79,32
Arden-Arcade,273.71,13.54,64.37,0.92,1.4,2.18,66
Pasadena,310.42,36.67,38.27,1.33,5.05,11.91,45
Livonia,854.49,49.35,0.0,0.79,18.72,28.08,61
Lowell,330.45,13.37,47.92,0.44,15.54,17.73,50
Hesperia,196.93,1.31,104.43,0.48,4.45,16.11,173
Ogden,185.25,9.94,50.07,0.13,1.14,1.66,42
